,Unnamed: 0,lng,lat,id,icon_caption_x,speed_limit,raw_text,icon_caption_y,geom_type,geometry,id_clean,dist_m
205,239,71.4118637,51.0851757,d26e778c-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP213 Нур-Султан, от проезд 23 в сторону просп. Абылай хана Старый номер: KZ-KZ-AST-4875 Дата последних изменений: 2020-10-13 16:21:36 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4118637 51.0851757, 71.411938643758 51.086523816218, 71.412668140348 51.086426413584, 71.4118637 51.0851757))",d26e778c-ec83-11ea-9092-001876201992,553.6440668365221
206,240,71.4114882,51.0849865,d26e77fb-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP213 Нур-Султан, от ул. Турара Рыскулова в сторону ул. Турара Рыскулова Старый номер: KZ-KZ-AST-4876 Дата последних изменений: 2020-10-13 16:18:34 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4114882 51.0849865, 71.409343723583 51.085057097766, 71.409511489924 51.085513571856, 71.4114882 51.0849865))",d26e77fb-ec83-11ea-9092-001876201992,586.0100641593405
216,250,71.4117499,51.0977674,d26ed1cd-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP264-КРЗ- Нур-Султан, от ул. А?мешіт в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-4957 Дата последних изменений: 2020-10-12 15:08:22 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4117499 51.0977674, 71.413896604429 51.097720323061, 71.413741503099 51.097262079259, 71.4117499 51.0977674))",d26ed1cd-ec83-11ea-9092-001876201992,1001.6740891305815
217,251,71.4110525,51.0977269,d26ed226-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP264-КРЗ- Нур-Султан, от ул. А?мешіт в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-4958 Дата последних изменений: 2020-10-12 15:09:12 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4110525 51.0977269, 71.408192410289 51.097821030355, 71.408416160378 51.098429662475, 71.4110525 51.0977269))",d26ed226-ec83-11ea-9092-001876201992,1014.3873957920624
218,252,71.4165244,51.0969458,d26ed283-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP265-КРЗ- Нур-Султан, от ул. Букар жырау в сторону ул. Т?ркістан Старый номер: KZ-KZ-AST-4959 Дата последних изменений: 2020-10-12 15:16:54 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4165244 51.0969458, 71.414379368955 51.097016397766, 71.414547178686 51.097472871856, 71.4165244 51.0969458))",d26ed283-ec83-11ea-9092-001876201992,855.7649758074236
219,253,71.4168623,51.0966621,d26ed2d7-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP265 Нур-Султан, от ул. Т?ркістан в сторону ул. Букар жырау Старый номер: KZ-KZ-AST-4960 Дата последних изменений: 2020-10-12 15:18:32 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4168623 51.0966621, 71.416749884581 51.095315010721, 71.416023024759 51.095420396019, 71.4168623 51.0966621))",d26ed2d7-ec83-11ea-9092-001876201992,824.7665387579941
220,254,71.4172164,51.0969863,d26ed32d-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP265 Нур-Султан, от ул. Букар жырау в сторону ул. Т?ркістан Старый номер: KZ-KZ-AST-4961 Дата последних изменений: 2020-10-12 15:17:53 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4172164 51.0969863, 71.419361432935 51.09691570236, 71.419193623124 51.09645922826, 71.4172164 51.0969863))",d26ed32d-ec83-11ea-9092-001876201992,862.0334026612801
221,255,71.4205215,51.0967785,d26ed404-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP266 Нур-Султан, от ул. Букар жырау в сторону ул. Турара Рыскулова Старый номер: KZ-KZ-AST-4962 Дата последних изменений: 2020-10-12 15:22:15 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4205215 51.0967785, 71.420633915501 51.098125589286, 71.421360777169 51.098020204031, 71.4205215 51.0967785))",d26ed404-ec83-11ea-9092-001876201992,884.7789696973872
222,256,71.4205806,51.0961772,d26ed463-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP266 Нур-Султан, от ул. Турара Рыскулова в сторону ул. Букар жырау Старый номер: KZ-KZ-AST-4963 Дата последних изменений: 2020-10-12 15:23:01 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4205806 51.0961772, 71.420430767551 51.094831547991, 71.41970695469 51.094944883809, 71.4205806 51.0961772))",d26ed463-ec83-11ea-9092-001876201992,823.2515905548173
223,257,71.420146,51.0964407,d26ed4ba-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP266 Нур-Султан, от просп. ?абанбай Батыр в сторону просп. Мангилик Ел Старый номер: KZ-KZ-AST-4964 Дата последних изменений: 2020-10-12 15:21:12 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.420146 51.0964407, 71.418000992387 51.096511297766, 71.418168800285 51.096967771856, 71.420146 51.0964407))",d26ed4ba-ec83-11ea-9092-001876201992,840.846005681568
